STN,YYYYMMDD,M,    P,    T,   DD,   FH,                  WW,   RH,              W2
 43,17280504,2,28111,  580,   NO,    0,BET                 ,     ,
 43,17280504,3,29020,  440,   NO,    0,REG                 ,   50,
 43,17280505,1,29002,  660,  NNO,    0,                    ,     ,
 43,17280505,2,29020,  600,  NNO,    0,                    ,     ,
 43,17280505,3,29020,  480,  NNO,    0,                    ,     ,
 43,17280506,1,29011,  500,   NW,   20,BET                 ,     ,
 43,17280506,2,28113,  660,   NW,   20,BET                 ,     ,
 43,17280506,3,28110,  580,   NW,   20,BET                 ,     ,
 43,17280507,1,28102,  740,    N,    0,                    ,     ,
 43,17280507,2,28103,  700,    O,    0,REGBLI              ,     ,
 43,17280507,3,29000,  520,    O,    0,REG                 ,   20,
 43,17280508,1,28112,  540,  NNW,    0,REG                 ,     ,
 43,17280508,2,28110,  740,  ZZW,    0,BETBLI              ,     ,
 43,17280508,3,28100,  580,  ZZW,    0,REG                 ,   30,
 43,17280509,1,28101,  580,   ZO,    0,BET                 ,     ,
 43,17280509,2,28103,  650,   NO,    0,                    ,     ,
 43,17280509,3,28110,  540,   NW,    0,                    ,     ,
 43,17280510,1,28100,  620,   NW,    0,                    ,     ,
 43,17280510,2,28090,  640,    O,    0,REGBLI              ,     ,
 43,17280510,3,28090,  560,    O,    0,REGBLI              ,   10,
 43,17280511,1,28090,  560,  NNO,    0,REG                 ,     ,
 43,17280511,2,28090,  600,  NNO,    0,REGBLI              ,     ,
 43,17280511,3,28090,  520,  NNO,    0,HAGBLI              ,   70,
 43,17280512,1,28092,  520,  NNO,    0,BET                 ,     ,
 43,17280512,2,28100,  600,  NNO,    0,BETREG              ,     ,
 43,17280512,3,28100,  520,  NNO,    0,BET                 ,     ,
 43,17280513,1,28101,  540,   NW,    0,                    ,     ,
 43,17280513,2,28080,  620,   NW,    0,REGBLI              ,     ,
 43,17280513,3,28061,  540,   NW,    0,                    ,   20,
 43,17280514,1,28053,  600,    N,    0,BET                 ,     ,
 43,17280514,2,28060,  630,  NNO,    0,BET                 ,     ,
 43,17280514,3,28061,  540,  NNO,    0,REGBET              ,   10,
 43,17280515,1,28053,  540,    O,   30,BETREG              ,     ,
 43,17280515,2,28063,  630,    O,   30,                    ,     ,
 43,17280515,3,28073,  520,    O,   20,                    ,   12,
 43,17280516,1,28070,  560,    N,   10,BET                 ,     ,
 43,17280516,2,28071,  610,    N,   10,BET                 ,     ,
 43,17280516,3,28080,  560,    N,   10,                    ,    2,
 43,17280517,1,28091,  600,  NNO,   10,                    ,     ,
 43,17280517,2,28092,  700,  NNO,   10,                    ,     ,
 43,17280517,3,28100,  560,  NNO,   10,REG                 ,    3,
 43,17280518,1,28102,  600,    O,    0,                    ,     ,
 43,17280518,2,29000,  720,    O,    0,                    ,     ,
 43,17280518,3,29020,  550,    O,    0,                    ,     ,
 43,17280519,1,29031,  580,   ZO,    0,                    ,     ,
 43,17280519,2,29023,  780,   NW,    0,                    ,     ,
 43,17280519,3,29030,  580,   NW,    0,                    ,     ,
 43,17280520,1,29022,  590,   NW,    0,                    ,     ,
 43,17280520,2,29010,  740,   NW,    0,                    ,     ,
 43,17280520,3,29002,  620,   NW,    0,                    ,     ,
 43,17280521,1,28110,  620,   NW,   20,                    ,     ,
 43,17280521,2,28102,  780,   NW,   20,                    ,     ,
 43,17280521,3,28103,  690,    N,    0,                    ,     ,
 43,17280522,1,28110,  680,    N,    0,                    ,     ,
 43,17280522,2,28111,  800,    N,    0,                    ,     ,
 43,17280522,3,28113,  690,    N,    0,                    ,     ,
 43,17280523,1,28112,  740,   NW,    0,                    ,     ,
 43,17280523,2,28110,  770,   NW,    0,                    ,     ,
 43,17280523,3,28113,  680,   NW,    0,                    ,     ,
 43,17280524,1,29011,  700,    O,    0,                    ,     ,
 43,17280524,2,29010,  720,    O,    0,REG                 ,     ,
 43,17280524,3,29000,  680,    O,    0,REG                 ,   10,
 43,17280525,1,29000,  620,   ZO,   20,REGBET              ,     ,
 43,17280525,2,29000,  670,   ZO,   20,BET                 ,     ,
 43,17280525,3,29000,  560,   ZO,   20,BET                 ,   11,
 43,17280526,1,29010,  560,   ZO,    0,BET                 ,     ,
